FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
254,10006313,BALDWIN PARK JAIL,14403 EAST PACIFIC AVENUE,BALDWIN PARK,CA,91706,-999,(626) 960-1955,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.baldwinparkpolice.com/index.php?s=jail,NOT AVAILABLE,32,0.00236386784436,{7C6D7EBC-B9F1-47C6-80BD-C90F520B7006},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,295.551533461119,2.03161286493e-07
382,10006488,CLAREMONT JAIL,570 W BONITA AVE,CLAREMONT,CA,91711,-999,(909) 399-5411,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ci.claremont.ca.us/government/departments-divisions/police-department/about-us,2018/05/25 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.ci.claremont.ca.us/government/departments-divisions/police-department,NOT AVAILABLE,18,0.00156334083544,{F9921B63-16D9-4195-887D-9FD6AE2E6DA2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,186.814591651186,1.39697077451e-07
388,10006489,CONCORD JAIL,1350 GALINDO STREET,CONCORD,CA,94520,-999,NOT AVAILABLE,LOCAL,OPEN,-999,CONTRA COSTA,06013,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.cityofconcord.org/183/Police,2018/05/25 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00321586733608,{F29FD3BD-214E-49AE-BCB5-9FEA214CF244},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,410.992237522236,4.69061342246e-07
391,10006495,MONROVIA JAIL,140 E LIME AVENUE,MONROVIA,CA,91016,-999,(626) 256-8061,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cityofmonrovia.org/your-government/police-department/general-information, https://www.inmateaid.com/prisons/monrovia-jail",2018/05/25 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.0019930445591,{75C51D3E-1F4E-430D-B829-7E40D9EFBE4A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,234.244817027001,1.81793869773e-07
392,10006498,SIGNAL HILL CITY JAIL,2745 WALNUT AVENUE,SIGNAL HILL,CA,90755,-999,(562) 989-7201,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityofsignalhill.org/index.aspx?NID=155,2018/05/25 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.cityofsignalhill.org/160/Jail,NOT AVAILABLE,13,0.00226571809545,{336ACC94-BB87-4A09-94CB-278ED8A0389A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,276.377523870998,3.19689584693e-07
397,10002354,MIRA LOMA DETENTION CENTER,45100 60TH STREET WEST,LANCASTER,CA,93536,-999,(661) 949-3811,FEDERAL,OPEN,0,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,"https://locoscout.com/location_detail.php?location_id=157, https://www.ice.gov/doclib/dro/facilities/pdf/lancaca.pdf",2015/10/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,MINIMUM,1200,0.0211818238065,{5B8F46C7-CA15-4651-8023-98266E577219},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2569.97440398517,1.82425637448e-05
403,10006492,CULVER CITY JAIL,4040 DUQUESNE AVENUE,CULVER CITY,CA,90230,-999,(310) 253-6205,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.culvercitypd.org/home-police,2018/05/25 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.culvercitypd.org/home-police,NOT AVAILABLE,30,0.00176721289131,{35149E03-85A4-4A5C-9FBD-79340AE51D4D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,213.841264879096,1.85322259911e-07
434,10002331,SANTA RITA JAIL,5325 BRODER BOULEVARD,DUBLIN,CA,94568,-999,(925) 551-6500,COUNTY,OPEN,2131,ALAMEDA,06001,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.alamedacountysheriff.org/jails_info.php",2018/02/08 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.alamedacountysheriff.org/jails_info.php,MEDIUM,4000,0.0313793401919,{5A30C916-9B23-467F-9D40-86A7B6C4924D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,3736.09358253473,2.00991629862e-05
439,10002316,YOLO COUNTY JUVENILE DETENTION FACILITY,2880 E GIBSON RD,WOODLAND,CA,95776,-999,NOT AVAILABLE,COUNTY,OPEN,-999,YOLO,06113,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.yolocounty.org/law-justice/probation/institutional-services,2018/02/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.yolocounty.org/law-justice/probation/institutional-services,JUVENILE,90,0.00390662479692,{343B67F2-A0AE-4915-9807-2BD99BAA2177},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,479.153013565752,6.02761660509e-07
447,10002317,YOLO COUNTY MONROE DETENTION CENTER,2420 EAST GIBSON ROAD,WOODLAND,CA,95776,-999,(530) 668-5245,COUNTY,OPEN,291,YOLO,06113,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2018/02/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.yolocountysheriff.com/services/jail/,MAXIMUM,-999,0.00557861021326,{DD14C81D-56BF-4909-BE26-AA00435186E3},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,724.746975195129,1.64466909896e-06
