GEOID,NAME,variable,estimate_2015,moe_2015,estimate_2016,moe_2016,estimate_2017,moe_2017,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020
01,Alabama,Male,2341093,1138,2346193,1216,2350806,1110,2355799,1011,2359355,1270,2365734,1090
01,Alabama,Female,2489527,1138,2494971,1216,2499965,1110,2508881,1011,2516895,1270,2527452,1089
02,Alaska,Male,384160,339,385296,355,386319,398,385579,465,384915,401,384653,448
02,Alaska,Female,349215,339,351559,355,352246,397,352937,465,352153,401,352337,448
04,Arizona,Male,3299088,845,3344106,449,3385055,428,3453439,497,3504509,349,3564979,458
04,Arizona,Female,3342840,845,3384471,449,3424891,428,3493246,497,3545790,349,3609085,458
05,Arkansas,Male,1451913,1007,1456694,940,1461651,919,1468412,966,1471760,979,1478511,1045
05,Arkansas,Female,1506295,1007,1511778,940,1516293,919,1522259,966,1527610,979,1533362,1043
06,California,Male,19087135,923,19200970,820,19366579,876,19453769,1122,19526298,1141,19562882,1263
06,California,Female,19334329,923,19453236,820,19616268,876,19694991,1122,19757199,1141,19783141,1263
08,Colorado,Male,2648667,698,2689636,802,2731315,1025,2780831,795,2823201,1044,2862153,1020
08,Colorado,Female,2630239,700,2669659,802,2705204,1025,2750310,795,2787148,1044,2822773,1020
09,Connecticut,Male,1751607,359,1750270,338,1754046,337,1747131,418,1744245,441,1741688,351
09,Connecticut,Female,1841615,359,1838300,338,1840432,337,1834373,418,1830829,441,1828861,351
10,Delaware,Male,448413,135,452416,162,456876,240,459570,137,462890,166,467720,160
10,Delaware,Female,478041,135,482279,162,486856,240,489925,137,494358,166,499959,160
11,District of Columbia,Male,306674,145,312629,148,319046,53,324881,83,328644,74,333137,82
11,District of Columbia,Female,340810,145,346380,148,353345,53,359617,83,364039,74,368837,82
12,Florida,Male,9600009,1387,9741262,1330,9914361,1276,10071925,1388,10220813,1549,10374594,1559
12,Florida,Female,10045763,1387,10193189,1330,10364086,1276,10526214,1388,10680823,1549,10842330,1559
13,Georgia,Male,4883331,1692,4922471,1569,4968887,1498,5012229,1630,5062096,1660,5113936,1996
13,Georgia,Female,5123362,1692,5176849,1569,5232748,1498,5285255,1630,5341751,1661,5402643,1999
15,Hawaii,Male,709871,225,709870,152,713981,153,713772,168,713260,157,712250,139
15,Hawaii,Female,696428,225,703803,152,707677,153,708257,168,708834,157,707824,139
16,Idaho,Male,810464,788,819845,669,830627,788,845564,804,861025,651,879763,828
16,Idaho,Female,806083,788,815638,669,826748,788,842245,804,856725,651,874604,828
17,Illinois,Male,6316899,1142,6310460,951,6312600,910,6295915,984,6272172,951,6247083,1174
17,Illinois,Female,6556862,1142,6541224,951,6541926,910,6525582,984,6498459,951,6469081,1174
18,Indiana,Male,3235263,1002,3245322,1145,3258279,1092,3271068,1278,3284846,1051,3300350,1169
18,Indiana,Female,3333382,1002,3344256,1145,3356139,1092,3366358,1278,3380857,1051,3396543,1169
19,Iowa,Male,1534595,790,1542988,834,1548035,851,1554481,1025,1558536,1077,1564436,886
19,Iowa,Female,1558931,790,1563601,835,1570067,852,1578018,1025,1580972,1077,1585575,889
20,Kansas,Male,1439862,780,1441912,761,1445980,997,1449413,942,1450697,949,1451919,981
20,Kansas,Female,1453125,780,1456380,761,1457840,997,1459363,943,1459955,949,1460700,982
21,Kentucky,Male,2164208,1118,2172745,1100,2179025,1272,2186715,1216,2190922,1184,2196522,1182
21,Kentucky,Female,2233145,1118,2239244,1100,2245351,1272,2253489,1216,2258130,1184,2265430,1183
22,Louisiana,Male,2261156,890,2271684,903,2281239,1112,2279968,1060,2278986,1162,2276932,1257
22,Louisiana,Female,2364097,890,2373986,903,2382222,1112,2383648,1060,2385376,1162,2387684,1259
23,Maine,Male,650081,345,651344,346,651040,362,652299,429,653942,422,656628,454
23,Maine,Female,679019,345,678579,346,679118,362,680514,429,681550,422,684197,453
24,Maryland,Male,2872643,480,2886734,551,2906277,570,2910323,576,2917613,619,2925644,681
24,Maryland,Female,3057895,480,3073168,551,3089802,570,3093112,576,3101235,619,3111980,681
25,Massachusetts,Male,3249650,445,3269371,432,3293426,437,3313979,523,3324207,463,3335992,464
25,Massachusetts,Female,3455936,445,3472772,432,3495893,437,3516214,523,3526346,463,3537011,464
26,Michigan,Male,4861973,836,4869885,756,4880579,774,4899118,757,4905240,848,4911965,885
26,Michigan,Female,5038598,836,5039715,756,5044989,775,5058370,757,5060025,847,5061942,886
