State,"Sheltered Total Homeless - Female, 2015","Sheltered Total Homeless - Male, 2015","Sheltered Total Homeless - Transgender, 2015","Sheltered Total Homeless - White, 2015","Sheltered Total Homeless - Black or African American, 2015","Sheltered Total Homeless - Asian, 2015","Sheltered Total Homeless - American Indian or Alaska Native, 2015","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2015","Sheltered Total Homeless - Multiple Races, 2015","Unsheltered Homeless - Female, 2015","Unsheltered Homeless - Male, 2015","Unsheltered Homeless - Transgender, 2015","Unsheltered Homeless - White, 2015","Unsheltered Homeless - Black or African American, 2015","Unsheltered Homeless - Asian, 2015","Unsheltered Homeless - American Indian or Alaska Native, 2015","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2015","Unsheltered Homeless - Multiple Races, 2015","Sheltered Total Homeless - Female, 2016","Sheltered Total Homeless - Male, 2016","Sheltered Total Homeless - Transgender, 2016","Sheltered Total Homeless - White, 2016","Sheltered Total Homeless - Black or African American, 2016","Sheltered Total Homeless - Asian, 2016","Sheltered Total Homeless - American Indian or Alaska Native, 2016","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2016","Sheltered Total Homeless - Multiple Races, 2016","Unsheltered Homeless - Female, 2016","Unsheltered Homeless - Male, 2016","Unsheltered Homeless - Transgender, 2016","Unsheltered Homeless - White, 2016","Unsheltered Homeless - Black or African American, 2016","Unsheltered Homeless - Asian, 2016","Unsheltered Homeless - American Indian or Alaska Native, 2016","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2016","Unsheltered Homeless - Multiple Races, 2016","Sheltered Total Homeless - Female, 2017","Sheltered Total Homeless - Male, 2017","Sheltered Total Homeless - Transgender, 2017","Sheltered Total Homeless - Gender Non-Conforming, 2017","Sheltered Total Homeless - White, 2017","Sheltered Total Homeless - Black or African American, 2017","Sheltered Total Homeless - Asian, 2017","Sheltered Total Homeless - American Indian or Alaska Native, 2017","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2017","Sheltered Total Homeless - Multiple Races, 2017","Unsheltered Homeless - Female, 2017","Unsheltered Homeless - Male, 2017","Unsheltered Homeless - Transgender, 2017","Unsheltered Homeless - Gender Non-Conforming, 2017","Unsheltered Homeless - White, 2017","Unsheltered Homeless - Black or African American, 2017","Unsheltered Homeless - Asian, 2017","Unsheltered Homeless - American Indian or Alaska Native, 2017","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2017","Unsheltered Homeless - Multiple Races, 2017","Sheltered Total Homeless - Female, 2019","Sheltered Total Homeless - Male, 2019","Sheltered Total Homeless - Transgender, 2019","Sheltered Total Homeless - Gender Non-Conforming, 2019","Sheltered Total Homeless - White, 2019","Sheltered Total Homeless - Black or African American, 2019","Sheltered Total Homeless - Asian, 2019","Sheltered Total Homeless - American Indian or Alaska Native, 2019","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2019","Sheltered Total Homeless - Multiple Races, 2019","Unsheltered Homeless - Female, 2019","Unsheltered Homeless - Male, 2019","Unsheltered Homeless - Transgender, 2019","Unsheltered Homeless - Gender Non-Conforming, 2019","Unsheltered Homeless - White, 2019","Unsheltered Homeless - Black or African American, 2019","Unsheltered Homeless - Asian, 2019","Unsheltered Homeless - American Indian or Alaska Native, 2019","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2019","Unsheltered Homeless - Multiple Races, 2019","Sheltered Total Homeless - Female, 2020","Sheltered Total Homeless - Male, 2020","Sheltered Total Homeless - Transgender, 2020","Sheltered Total Homeless - Gender Non-Conforming, 2020","Sheltered Total Homeless - White, 2020","Sheltered Total Homeless - Black or African American, 2020","Sheltered Total Homeless - Asian, 2020","Sheltered Total Homeless - American Indian or Alaska Native, 2020","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2020","Sheltered Total Homeless - Multiple Races, 2020","Unsheltered Homeless - Female, 2020","Unsheltered Homeless - Male, 2020","Unsheltered Homeless - Transgender, 2020","Unsheltered Homeless - Gender Non-Conforming, 2020","Unsheltered Homeless - White, 2020","Unsheltered Homeless - Black or African American, 2020","Unsheltered Homeless - Asian, 2020","Unsheltered Homeless - American Indian or Alaska Native, 2020","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2020","Unsheltered Homeless - Multiple Races, 2020"
AK,694,943,2,625,132,17,714,59,92,79,238,0,120,12,1,169,3,12,649,846,3,577,135,41,555,51,139,159,281,2,162,12,3,231,2,32,689,857,4,1,534,132,20,630,67,168,76,218,0,0,107,15,0,140,2,30,683,943,6,2,546,152,32,656,72,176,78,194,0,1,121,12,4,108,1,27,768,950,3,4,538,133,22,779,39,214,60,164,0,0,96,4,0,111,1,12
AL,1192,1747,4,1430,1470,5,12,1,25,340,680,7,383,620,0,7,0,17,1331,1558,4,1244,1535,3,40,6,65,402,808,8,470,716,1,9,2,20,964,1684,5,3,1095,1448,8,14,1,90,350,769,16,2,492,616,1,7,0,21,999,1068,3,0,845,1138,4,34,6,43,384,805,0,2,535,603,3,21,3,26,913,1081,2,0,850,1121,2,15,6,47,381,907,7,4,612,634,0,22,5,26
AR,693,985,0,1045,536,5,25,28,39,285,597,0,498,367,2,7,1,7,772,843,1,990,525,8,14,7,72,275,572,0,461,369,2,7,1,7,581,691,1,0,756,441,4,13,6,53,384,808,2,0,691,451,5,11,1,35,615,683,3,1,789,431,3,26,8,45,407,1005,1,2,862,471,1,10,16,55,436,653,3,1,599,438,2,22,10,22,362,908,2,1,754,463,2,20,11,23
AS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,3139,3794,6,4444,1481,35,522,38,419,827,2122,8,2253,280,22,327,19,56,2952,3503,8,4114,1491,36,442,37,343,733,2502,9,2448,301,17,367,30,81,2554,3213,13,1,3664,1303,44,447,24,299,777,2379,9,1,2422,308,7,257,22,150,2495,2966,10,4,3012,1293,32,490,31,617,1188,3331,6,7,3304,615,16,429,28,140,2428,3009,19,2,3016,1523,46,449,28,396,1800,3685,24,12,3885,766,31,578,32,229
CA,17910,23981,148,24165,12436,771,1454,628,2585,20766,52564,369,40175,19826,1375,3308,597,8418,16765,22822,165,23096,11845,711,1200,565,2335,22410,55299,681,44573,20589,1125,2979,719,8405,18387,23994,221,34,23093,13634,772,1377,570,3190,24363,63615,572,346,45691,28648,1718,4286,889,7664,18737,23807,236,66,23276,14339,757,1285,567,2622,31730,74597,1528,577,58888,29747,1849,5512,1610,10826,20943,26502,330,113,26133,16492,948,1417,520,2378,32562,79235,1271,592,61306,33118,2292,4969,1264,10711
CO,2958,4163,13,4391,1731,77,361,30,544,965,1849,5,2247,217,13,116,4,222,3085,4489,37,4936,1689,66,364,50,506,1018,1904,17,2303,193,12,163,11,257,2589,4457,18,17,4559,1520,37,365,27,573,1425,2409,19,6,3219,268,14,181,18,159,2665,4704,37,25,4626,1499,55,426,81,744,573,1585,17,13,1625,179,10,160,19,195,2426,4455,36,16,4364,1513,42,318,100,596,772,2107,17,17,2047,295,9,209,36,317
CT,1376,2039,6,1775,1357,24,42,124,99,129,496,1,389,213,14,8,0,2,1329,1896,4,1648,1333,26,46,71,105,129,544,0,447,202,6,8,2,8,1212,1753,6,1,1490,1209,32,19,30,192,101,301,2,12,262,134,2,3,13,2,1052,1522,3,0,1313,1001,15,22,9,217,81,373,1,1,248,149,0,2,44,13,1033,1537,6,4,1312,969,15,32,10,242,74,248,0,3,207,96,1,2,0,19
DC,2979,3762,13,302,6228,48,21,11,144,108,436,0,141,367,14,7,1,14,3751,4262,19,351,7506,30,26,16,103,51,250,17,88,183,5,12,0,30,3023,3525,26,2,298,6047,30,20,19,162,203,684,10,0,183,665,10,5,2,32,2539,3333,36,5,304,5364,23,33,18,171,110,490,4,4,109,465,9,9,1,15,2441,3237,43,6,380,5120,32,21,16,158,136,509,5,3,126,498,6,5,4,14
DE,392,524,0,344,502,3,11,2,54,8,29,0,25,11,0,0,1,0,397,621,1,372,600,1,1,3,42,14,37,0,34,17,0,0,0,0,408,527,1,0,365,521,4,1,5,40,23,35,0,0,33,23,0,0,0,2,347,477,1,1,311,447,2,4,10,52,26,69,0,0,61,31,0,0,0,3,414,600,0,1,341,609,3,6,1,55,49,101,0,0,71,69,0,1,0,9
