GEOID,NAME,variable,estimate_2015,moe_2015,estimate_2016,moe_2016,estimate_2017,moe_2017,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020
01,Alabama,White,3325464,2653,3325037,3152,3317702,3366,3317453,3345,3320247,3020,3302834,3712
01,Alabama,Black or African American,1276544,2499,1282053,2466,1287167,2157,1293186,2745,1299048,2738,1301319,3060
01,Alabama,American Indian or Alaska Native,23850,1026,23919,1369,25098,1253,25576,1335,25565,1231,24764,1203
01,Alabama,Asian,59599,1379,60744,1345,62815,1347,64609,1251,66270,1204,67909,1445
01,Alabama,Native Hawaiian or Other Pacific Islander,2439,742,2008,584,2213,592,2182,546,2238,544,2042,319
01,Alabama,Multiple Races,81646,2273,85412,2868,88834,2722,91619,3331,92220,2835,119322,3836
02,Alaska,White,484250,1236,483518,1218,481971,1468,478834,1368,476015,1779,466961,1562
02,Alaska,Black or African American,25022,803,24443,787,23702,789,24129,834,24205,833,23894,1015
02,Alaska,American Indian or Alaska Native,101313,1735,103574,1522,104995,1588,106660,1515,109751,1660,107298,1643
02,Alaska,Asian,42921,994,44218,1195,45604,929,46556,1030,45920,871,47289,1500
02,Alaska,Native Hawaiian or Other Pacific Islander,8841,428,8862,326,9075,369,8849,485,9204,413,10485,446
02,Alaska,Multiple Races,61755,2190,62340,2363,62713,2101,62461,1816,60665,2426,68832,2443
04,Arizona,White,5210335,10167,5235158,10338,5277661,9610,5364141,9871,5444453,12269,5292498,11690
04,Arizona,Black or African American,281576,2672,287110,2622,292831,2472,305259,2794,317462,3182,325105,4367
04,Arizona,American Indian or Alaska Native,294721,2084,296732,2571,300182,3060,309580,3307,317414,3669,311014,3370
04,Arizona,Asian,200090,1909,205229,2250,213417,2141,228887,2442,233213,2400,239190,2955
04,Arizona,Native Hawaiian or Other Pacific Islander,12471,774,12863,682,13364,603,14112,625,14458,709,14633,654
04,Arizona,Multiple Races,211845,4480,222579,4547,237908,5737,252883,5372,263037,6107,499597,10837
05,Arkansas,White,2307849,3220,2307136,3114,2302141,3304,2302874,2783,2301044,3155,2269959,4094
05,Arkansas,Black or African American,459748,1380,460638,1800,459969,1706,460970,1946,459542,1941,457840,1962
05,Arkansas,American Indian or Alaska Native,18409,1149,18697,1137,19476,1088,20037,1190,20434,1200,19146,1158
05,Arkansas,Asian,40336,1027,41539,773,42368,858,43988,1091,45504,1017,46130,1123
05,Arkansas,Native Hawaiian or Other Pacific Islander,6845,528,6738,456,7062,624,7969,639,8733,714,10455,597
05,Arkansas,Multiple Races,62537,2157,66079,2158,71822,2359,75852,2749,80537,2773,119980,3823
06,California,White,23747013,29085,23680584,25774,23607242,32279,23529068,26419,23453222,32004,22053721,34243
06,California,Black or African American,2265387,6484,2261835,5684,2263222,6142,2267875,8045,2274108,7427,2250962,7807
06,California,American Indian or Alaska Native,287028,6335,285512,5874,292018,6309,296475,5495,303998,6578,311629,6466
06,California,Asian,5261978,9037,5354608,8366,5503672,8873,5604339,8962,5692423,9078,5834312,11618
