1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PFAS,45. FORM TYPE,46. UNIT OF MEASURE,47. 5.1 - FUGITIVE AIR,48. 5.2 - STACK AIR,49. 5.3 - WATER,50. 5.4 - UNDERGROUND,51. 5.4.1 - UNDERGROUND CL I,52. 5.4.2 - UNDERGROUND C II-V,53. 5.5.1 - LANDFILLS,54. 5.5.1A - RCRA C LANDFILL,55. 5.5.1B - OTHER LANDFILLS,56. 5.5.2 - LAND TREATMENT,57. 5.5.3 - SURFACE IMPNDMNT,58. 5.5.3A - RCRA SURFACE IM,59. 5.5.3B - OTHER SURFACE I,60. 5.5.4 - OTHER DISPOSAL,61. ON-SITE RELEASE TOTAL,62. 6.1 - POTW - TRNS RLSE,63. 6.1 - POTW - TRNS TRT,64. POTW - TOTAL TRANSFERS,65. 6.2 - M10,66. 6.2 - M41,67. 6.2 - M62,68. 6.2 - M40 METAL,69. 6.2 - M61 METAL,70. 6.2 - M71,71. 6.2 - M81,72. 6.2 - M82,73. 6.2 - M72,74. 6.2 - M63,75. 6.2 - M66,76. 6.2 - M67,77. 6.2 - M64,78. 6.2 - M65,79. 6.2 - M73,80. 6.2 - M79,81. 6.2 - M90,82. 6.2 - M94,83. 6.2 - M99,84. OFF-SITE RELEASE TOTAL,85. 6.2 - M20,86. 6.2 - M24,87. 6.2 - M26,88. 6.2 - M28,89 6.2 - M93,90. OFF-SITE RECYCLED TOTAL,91. 6.2 - M56,92. 6.2 - M92,93. OFF-SITE ENERGY RECOVERY T,94. 6.2 - M40 NON-METAL,95. 6.2 - M50,96. 6.2 - M54,97. 6.2 - M61 NON-METAL,98. 6.2 - M69,99. 6.2 - M95,100. OFF-SITE TREATED TOTAL,101. 6.2 - UNCLASSIFIED,102. 6.2 - TOTAL TRANSFER,103. TOTAL RELEASES,104. 8.1 - RELEASES,105. 8.1A - ON-SITE CONTAINED,106. 8.1B - ON-SITE OTHER ,107. 8.1C - OFF-SITE CONTAIN,108. 8.1D - OFF-SITE OTHER R,109. 8.2 - ENERGY RECOVER ON,110. 8.3 - ENERGY RECOVER OF,111. 8.4 - RECYCLING ON SITE,112. 8.5 - RECYCLING OFF SIT,113. 8.6 - TREATMENT ON SITE,114. 8.7 - TREATMENT OFF SITE,115. PRODUCTION WSTE (8.1-8.7),116. 8.8 - ONE-TIME RELEASE,117. PROD_RATIO_OR_ ACTIVITY,118. 8.9 - PRODUCTION RATIO
"2020","92123SLRTR4200R","110000478974","SOLAR TURBINES INC KEARNY MESA","4200 RUFFIN RD MZ T-2","SAN DIEGO","SAN DIEGO","CA","92123","","","32.81872","-117.1258","NAD83","CATERPILLAR INC","005070479","CATERPILLAR INC","NO","333","Machinery","","","","","","","","","","","","","1320218734729","Chromium","NO","0007440473","7440-47-3","150060","YES","TRI","YES","1","NO","NO","R","Pounds","0","1.61","0","0","0","0","0","0","0","0","0","0","0","0","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9670","0","0","0","9670","0","0","0","0","0","0","0","0","0","0","0","9670","1.61","0","0","1.61","0","0","0","0","0","9670","0","0","9671.61","","PRODUCTION",".92"
"2020","9492WSCGST299DR","110071046604","USCG STATION BODEGA BAY","299 DORAN PARK RD","BODEGA BAY","SONOMA","CA","94923","","","38.317708","-123.031732","NAD83","NA","","US DEPARTMENT OF HOMELAND SECURITY","YES","999","Other","","","","","","","","","","","","","1320219378561","Mixture","NO","MIXTURE","MIXTURE","","NO","TRI","NO","0","NO","NO","R","Pounds","0","0","0","0","0","0","0","54","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","108","0","54","0","0","54","0","0","0","0","0","0","108","","",""
"2020","9160WKLNND7323C","110002893192","KLUNE INDUSTRIES INC.","7323 COLDWATER CANYON AVENUE","NORTH HOLLYWOOD","LOS ANGELES","CA","91605","","","34.203717","-118.4138","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218944078","Lead","NO","0007439921","7439-92-1","149583","YES","PBT","YES","1","YES","NO","R","Pounds","0","0",".1","0","0","0","0","0","0","0","0","0","0","0",".1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","723","0","0","0","723","0","0","0","0","0","0","0","0","0","0","0","723",".1","0","0",".1","0","0","0","0","0","723","0","0","723.1","","PRODUCTION",".52"
"2020","9160WKLNND7323C","110002893192","KLUNE INDUSTRIES INC.","7323 COLDWATER CANYON AVENUE","NORTH HOLLYWOOD","LOS ANGELES","CA","91605","","","34.203717","-118.4138","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218944080","Nickel","NO","0007440020","7440-02-0","149674","YES","TRI","YES","1","YES","NO","R","Pounds","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","640","0","0","0","0","0","0","640","0","12574","0","0","0","12574","0","0","0","0","0","0","0","0","0","0","0","13214","642","0","0","2","640","0","0","0","0","12574","0","0","13216","","PRODUCTION",".93"
"2020","9160WKLNND7323C","110002893192","KLUNE INDUSTRIES INC.","7323 COLDWATER CANYON AVENUE","NORTH HOLLYWOOD","LOS ANGELES","CA","91605","","","34.203717","-118.4138","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218944066","Chromium","NO","0007440473","7440-47-3","150060","YES","TRI","YES","1","NO","NO","R","Pounds","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1110","0","0","0","0","0","0","1110","0","26890","0","0","0","26890","0","0","0","0","0","0","0","0","0","0","0","28000","1114","0","0","4","1110","0","0","0","0","26890","0","0","28004","","PRODUCTION",".97"
"2020","92123SLRTR4200R","110000478974","SOLAR TURBINES INC KEARNY MESA","4200 RUFFIN RD MZ T-2","SAN DIEGO","SAN DIEGO","CA","92123","","","32.81872","-117.1258","NAD83","CATERPILLAR INC","005070479","CATERPILLAR INC","NO","333","Machinery","","","","","","","","","","","","","1320218734731","Nickel","NO","0007440020","7440-02-0","149674","YES","TRI","YES","1","YES","NO","R","Pounds","0","1.61","0","0","0","0","0","0","0","0","0","0","0","0","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5719","0","0","0","5719","0","0","0","0","0","0","0","0","0","0","0","5719","1.61","0","0","1.61","0","0","0","0","0","5719","0","0","5720.61","","PRODUCTION",".92"
"2020","95206VLMTN431SP","110000484949","VALIMET INC","431 SPERRY RD","STOCKTON","SAN JOAQUIN","CA","95206","","","37.89873","-121.2672","NAD83","NA","","NA","NO","331","Primary Metals","","","","","","","","","","","","","1320218637876","Aluminum (fume or dust)","NO","0007429905","7429-90-5","149476","NO","TRI","NO","4","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","54","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","54","0","0","0","0","0","0","0","0","54","","PRODUCTION","1.16"
"2020","93272CLFRN11894","110000481489","CALIFORNIA DAIRIES INC TIPTON","11894 AVE 120","TIPTON","TULARE","CA","93272","","","36.0094","-119.3054","NAD83","CALIFORNIA DAIRIES INC","009868035","CALIFORNIA DAIRIES INC","NO","311","Food","","","","","","","","","","","","","1320218681652","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","NO","N511","N511","649616","NO","TRI","NO","0","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33731","0","33731","","PRODUCTION","1.05"
"2020","93272CLFRN11894","110000481489","CALIFORNIA DAIRIES INC TIPTON","11894 AVE 120","TIPTON","TULARE","CA","93272","","","36.0094","-119.3054","NAD83","CALIFORNIA DAIRIES INC","009868035","CALIFORNIA DAIRIES INC","NO","311","Food","","","","","","","","","","","","","1320218681664","Peracetic acid","NO","0000079210","79-21-0","7682","NO","TRI","NO","0","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16944","0","16944","","PRODUCTION","1.05"
"2020","93272CLFRN11894","110000481489","CALIFORNIA DAIRIES INC TIPTON","11894 AVE 120","TIPTON","TULARE","CA","93272","","","36.0094","-119.3054","NAD83","CALIFORNIA DAIRIES INC","009868035","CALIFORNIA DAIRIES INC","NO","311","Food","","","","","","","","","","","","","1320218681676","Nitric acid","NO","0007697372","7697-37-2","152686","NO","TRI","NO","0","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34268","0","34268","","PRODUCTION","1.05"
