1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PFAS,45. FORM TYPE,46. UNIT OF MEASURE,47. 5.1 - FUGITIVE AIR,48. 5.2 - STACK AIR,49. 5.3 - WATER,50. 5.4 - UNDERGROUND,51. 5.4.1 - UNDERGROUND CL I,52. 5.4.2 - UNDERGROUND C II-V,53. 5.5.1 - LANDFILLS,54. 5.5.1A - RCRA C LANDFILL,55. 5.5.1B - OTHER LANDFILLS,56. 5.5.2 - LAND TREATMENT,57. 5.5.3 - SURFACE IMPNDMNT,58. 5.5.3A - RCRA SURFACE IM,59. 5.5.3B - OTHER SURFACE I,60. 5.5.4 - OTHER DISPOSAL,61. ON-SITE RELEASE TOTAL,62. 6.1 - POTW - TRNS RLSE,63. 6.1 - POTW - TRNS TRT,64. POTW - TOTAL TRANSFERS,65. 6.2 - M10,66. 6.2 - M41,67. 6.2 - M62,68. 6.2 - M40 METAL,69. 6.2 - M61 METAL,70. 6.2 - M71,71. 6.2 - M81,72. 6.2 - M82,73. 6.2 - M72,74. 6.2 - M63,75. 6.2 - M66,76. 6.2 - M67,77. 6.2 - M64,78. 6.2 - M65,79. 6.2 - M73,80. 6.2 - M79,81. 6.2 - M90,82. 6.2 - M94,83. 6.2 - M99,84. OFF-SITE RELEASE TOTAL,85. 6.2 - M20,86. 6.2 - M24,87. 6.2 - M26,88. 6.2 - M28,89 6.2 - M93,90. OFF-SITE RECYCLED TOTAL,91. 6.2 - M56,92. 6.2 - M92,93. OFF-SITE ENERGY RECOVERY T,94. 6.2 - M40 NON-METAL,95. 6.2 - M50,96. 6.2 - M54,97. 6.2 - M61 NON-METAL,98. 6.2 - M69,99. 6.2 - M95,100. OFF-SITE TREATED TOTAL,101. 6.2 - UNCLASSIFIED,102. 6.2 - TOTAL TRANSFER,103. TOTAL RELEASES,104. 8.1 - RELEASES,105. 8.1A - ON-SITE CONTAINED,106. 8.1B - ON-SITE OTHER ,107. 8.1C - OFF-SITE CONTAIN,108. 8.1D - OFF-SITE OTHER R,109. 8.2 - ENERGY RECOVER ON,110. 8.3 - ENERGY RECOVER OF,111. 8.4 - RECYCLING ON SITE,112. 8.5 - RECYCLING OFF SIT,113. 8.6 - TREATMENT ON SITE,114. 8.7 - TREATMENT OFF SITE,115. PRODUCTION WSTE (8.1-8.7),116. 8.8 - ONE-TIME RELEASE,117. PROD_RATIO_OR_ ACTIVITY,118. 8.9 - PRODUCTION RATIO
"2020","01041HZNPPTHIRD","110000308060","HAZEN PAPER CO","240 S WATER ST","HOLYOKE","HAMPDEN","MA","01040","","","42.19251","-72.60981","NAD83","NA","","NA","NO","322","Paper","","","","","","","","","","","","","1320218804678","n-Butyl alcohol","NO","0000071363","71-36-3","4739","NO","TRI","NO","0","NO","NO","R","Pounds","14653","0","0","0","0","0","0","0","0","0","0","0","0","0","14653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","9","14653","0","0","14653","0","0","0","9","0","0","0","0","14662","","PRODUCTION",".96"
"2020","01041HZNPPTHIRD","110000308060","HAZEN PAPER CO","240 S WATER ST","HOLYOKE","HAMPDEN","MA","01040","","","42.19251","-72.60981","NAD83","NA","","NA","NO","322","Paper","","","","","","","","","","","","","1320218804666","Certain glycol ethers","NO","N230","N230","649541","YES","TRI","NO","0","NO","NO","R","Pounds","13909","0","0","0","0","0","0","0","0","0","0","0","0","0","13909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13909","0","0","13909","0","0","0","0","0","0","0","0","13909","","PRODUCTION",".96"
"2020","02766CPSTC111SW","110024330099","CPS TECHNOLOGIES CORP","111 S WORCESTER ST","NORTON","BRISTOL","MA","02766","","","41.947205","-71.214348","NAD83","NA","","NA","NO","327","Nonmetallic Mineral Product","","","","","","","","","","","","","1320218656674","Cyclohexane","NO","0000110827","110-82-7","27003","NO","TRI","NO","0","NO","NO","R","Pounds","110.36","9159.48","0","0","0","0","0","0","0","0","0","0","0","0","9269.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","399.67","0","399.67","0","0","0","0","0","0","0","0","399.67","9269.84","0","0","9269.84","0","0","0","399.67","0","0","0","0","9669.51","","PRODUCTION","1.01"
"2020","01960TRBNC8FIFT","110024341960","WALBAR PEABODY LLC","8 FIFTH ST","PEABODY","ESSEX","MA","01960","","","42.5201","-70.97537","NAD83","RAYTHEON TECHNOLOGIES CORP","001344142","RAYTHEON TECHNOLOGIES CORP","NO","336","Transportation Equipment","","","","","","","","","","","","","1320218764037","Nitric acid","NO","0007697372","7697-37-2","152686","NO","TRI","NO","0","NO","NO","R","Pounds","202","496","0","0","0","0","0","0","0","0","0","0","0","0","698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1435","0","0","0","0","0","1435","0","1435","698","0","0","698","0","0","0","0","0","0","9417","1435","11550","","PRODUCTION",".73"
"2020","02032BYRCR333CO","110010707912","SIEMENS HEALTHCARE DIAGNOSTICS","333 CONEY ST","EAST WALPOLE","NORFOLK","MA","02032","","","42.14976","-71.20135","NAD83","SIEMENS CORP","NA","SIEMENS CORP","NO","325","Chemicals","","","","","","","","","","","","","1320218782427","Methanol","NO","0000067561","67-56-1","4283","YES","TRI","NO","0","NO","NO","R","Pounds","0","1537","0","0","0","0","0","0","0","0","0","0","0","0","1537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12777","0","12777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12777","14314","0","0","1537","0","12777","0","0","0","0","0","0","14314","","PRODUCTION",".95"
"2020","01887TCMTX115EA","110000310119","TECOMET","115 EAMES ST","WILMINGTON","MIDDLESEX","MA","01887","","","42.53031","-71.15332","NAD83","NA","","TECOMET INC","NO","339","Miscellaneous Manufacturing","","","","","","","","","","","","","1320219328352","Cobalt","NO","0007440484","7440-48-4","150078","YES","TRI","YES","1","YES","NO","R","Pounds","0","19.78","0","0","0","0","0","0","0","0","0","0","0","0","19.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3462","0","3462","0","0","10339","0","0","10339","0","0","0","0","0","0","0","0","0","0","0","13801","3481.78","0","0","19.78","0","3462","0","0","0","10339","0","0","13820.78","","PRODUCTION","1.15"
"2020","01887TCMTX115EA","110000310119","TECOMET","115 EAMES ST","WILMINGTON","MIDDLESEX","MA","01887","","","42.53031","-71.15332","NAD83","NA","","TECOMET INC","NO","339","Miscellaneous Manufacturing","","","","","","","","","","","","","1320219328376","Nickel","NO","0007440020","7440-02-0","149674","YES","TRI","YES","1","YES","NO","R","Pounds","0","2.03","0","0","0","0","0","0","0","0","0","0","0","0","2.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","355","0","355","0","0","2166","0","0","2166","0","0","0","0","0","0","0","0","0","0","0","2521","357.03","0","0","2.03","0","355","0","0","0","2166","0","0","2523.03","","PRODUCTION",".72"
"2020","01887TCMTX115EA","110000310119","TECOMET","115 EAMES ST","WILMINGTON","MIDDLESEX","MA","01887","","","42.53031","-71.15332","NAD83","NA","","TECOMET INC","NO","339","Miscellaneous Manufacturing","","","","","","","","","","","","","1320219328364","Manganese","NO","0007439965","7439-96-5","149625","YES","TRI","YES","1","NO","NO","R","Pounds","0",".41","0","0","0","0","0","0","0","0","0","0","0","0",".41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","72","0","0","430","0","0","430","0","0","0","0","0","0","0","0","0","0","0","502","72.41","0","0",".41","0","72","0","0","0","430","0","0","502.41","","PRODUCTION","1.15"
"2020","01057LMNTNPALME","110000308104","TRELLEBORG COATED SYSTEMS US INC.","152 BETHANY RD","MONSON","HAMPDEN","MA","01057","","","42.120299","-72.307873","NAD83","NA","","NA","NO","313","Textiles","","","","","","","","","","","","","1320219357466","Toluene","NO","0000108883","108-88-3","25452","YES","TRI","NO","0","NO","NO","R","Pounds","0","1985","0","0","0","0","0","0","0","0","0","0","0","0","1985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1393","0","0","0","0","1393","8400","0","8400","0","0","0","0","0","0","0","0","9793","1985","0","0","1985","0","0","0","8400","0","1393","196507","0","208285","","PRODUCTION",".75"
"2020","01057LMNTNPALME","110000308104","TRELLEBORG COATED SYSTEMS US INC.","152 BETHANY RD","MONSON","HAMPDEN","MA","01057","","","42.120299","-72.307873","NAD83","NA","","NA","NO","313","Textiles","","","","","","","","","","","","","1320219357454","N,N-Dimethylformamide","NO","0000068122","68-12-2","4416","YES","TRI","NO","0","NO","NO","R","Pounds","0","2929","0","0","0","0","0","0","0","0","0","0","0","0","2929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2575","0","0","0","0","2575","12600","0","12600","0","0","0","0","0","0","0","0","15175","2929","0","0","2929","0","0","0","12600","0","2575","289951","0","308055","","PRODUCTION",".75"
